id,url,headline,author,date
0,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,Chris Welch,2023/03/27
1,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023/03/27
2,https://www.theverge.com/2023/3/27/23657938/microsoft-teams-overhaul-performance-improvements-ui-design-changes-features,The new Microsoft Teams is here with big performance improvements and UI changes,Tom Warren,2023/03/27
3,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023/03/27
4,https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Aqara Video Doorbell G4 review: this battery-powered buzzer needs to go back to basics,Jennifer Pattison Tuohy,2023/03/27
5,https://www.theverge.com/2023/3/27/23657927/ai-pope-image-fake-midjourney-computer-generated-aesthetic,The swagged-out pope is an AI fake — and an early glimpse of a new reality,James Vincent,2023/03/27
6,https://www.theverge.com/2023/3/27/23659059/peacocks-latest-streaming-addition-morning-cable-news-shows,Peacock’s latest streaming addition: morning cable news shows.,Richard Lawler,2023/03/27
7,https://www.theverge.com/2023/3/27/23659079/lyfts-ceo-and-president-are-stepping-down,Lyft’s CEO and president are stepping down.,Emma Roth,2023/03/27
8,https://www.theverge.com/2023/3/27/23658721/uber-eats-delisting-delivery-only-restaurants-ghost-kitchens,Uber Eats is shutting down thousands of virtual restaurants to make the app less spammy,Emma Roth,2023/03/27
9,https://www.theverge.com/2023/3/27/23658937/get-ready-for-tomorrows-tears-of-the-kingdom-showcase-by-watching-all-five-previous-trailers,Get ready for tomorrow’s Tears of the Kingdom showcase by watching all five previous trailers.,Jay Peters,2023/03/27
10,https://www.theverge.com/2023/3/27/23658874/the-legend-of-zelda-tears-of-the-kingdom-news-announcements,The Legend of Zelda: Tears of the Kingdom — all the latest on Nintendo’s huge sequel,Jay Peters,2023/03/27
11,https://www.theverge.com/2023/3/27/23658892/hope-you-downloaded-your-trophies-because-fitbit-challenges-are-no-more,Hope you downloaded your trophies because Fitbit challenges are no more.,Victoria Song,2023/03/27
12,https://www.theverge.com/2023/3/27/23658839/killers-of-the-flower-moon-martin-scorsese-movie-theater-apple-tv-plus,Apple is bringing Martin Scorsese’s next movie to theaters before streaming,Andrew Webster,2023/03/27
13,https://www.theverge.com/2023/3/27/23658449/spyware-ban-us-government-biden-executive-order,President Joe Biden says US can’t buy spyware that other countries have used against it,Mitchell Clark,2023/03/27
14,https://www.theverge.com/2023/3/27/23658716/ubisoft-forward-live-los-angeles-show-e3-2023,Ubisoft bails on E3 in favor of its own show in Los Angeles,Jay Peters,2023/03/27
15,https://www.theverge.com/2023/3/27/23658759/denied-care-by-an-algorithm,Denied care by an algorithm.,Elizabeth Lopatto,2023/03/27
16,https://www.theverge.com/2023/3/27/23658536/multiversus-open-beta-shutting-2024-launch,"MultiVersus’ open beta is shutting down, but the game is set to return in 2024",Jay Peters,2023/03/27
17,https://www.theverge.com/2023/3/27/23658579/amazon-astro-robot-price-hike,Amazon Astro robot price hike!,Sean Hollister,2023/03/27
18,https://www.theverge.com/2023/3/27/23658555/super-mario-gross,Super Mario gross.,Andrew Webster,2023/03/27
19,https://www.theverge.com/2023/3/27/23658317/ios-16-4-new-emoji-safari-web-push-notifications-voice-isolation,"iOS 16.4 is here, and it brings new emoji like a moose and goose to your iPhone",Jay Peters,2023/03/27
20,https://www.theverge.com/2023/3/27/23658392/final-fantasy-xiv-stormblood-free-starter-edition,The worst Final Fantasy XIV expansion is now free for a limited time,Ash Parrish,2023/03/27
21,https://www.theverge.com/23654583/gdc-2023-best-indie-games-venba-cart-life,9 cool new games from GDC 2023,Andrew Webster,2023/03/25
22,https://www.theverge.com/2023/3/27/23658385/levis-ai-generated-clothing-model-diversity-denim,Levi’s will test AI-generated clothing models to ‘increase diversity’,Jess Weatherbed,2023/03/27
23,https://www.theverge.com/2023/3/27/23658429/disney-layoffs-first-round-7000,Disney’s first of three rounds of layoffs will start this week,Jay Peters,2023/03/27
24,https://www.theverge.com/2023/3/27/23658452/crypto-people-are-finding-new-bankers,Crypto people are finding new bankers.,Elizabeth Lopatto,2023/03/27
25,https://www.theverge.com/2023/3/27/23658414/biosphere-first-teaser-trailer,Biosphere’s first trailer turns the end of the world into a bromance,Andrew Webster,2023/03/27
26,https://www.theverge.com/2023/3/27/23658367/you-might-never-look-at-ebay-the-same-way-after-watching-this-video,You might never look at eBay the same way after watching this video.,Chris Welch,2023/03/27
27,https://www.theverge.com/2023/3/27/23658314/binance-changpeng-zhao-crypto-trading-lawsuit-cftc,Feds sue crypto giant Binance and founder Changpeng Zhao,Emma Roth,2023/03/27
28,https://www.theverge.com/23658252/tesla-supercharger-non-tesla-ev-how-to-charge,How to charge your non-Tesla EV at a Tesla Supercharger,Patrick George,2023/03/27
29,https://www.theverge.com/2023/3/27/23655477/hisense-u8h-microsoft-365-target-bogo-samsung-980-ssd-eero-deal-sale,Hisense’s bright yet affordable U8H Mini LED TV is $100 off,Antonio G. Di Benedetto,2023/03/27
30,https://www.theverge.com/2023/3/27/23657976/microsoft-teams-avatars-feature-public-preview,Microsoft Teams now lets you transform into a 3D avatar during meetings,Tom Warren,2023/03/27
31,https://www.theverge.com/2023/3/27/23624186/nintendo-switch-oled-deal-sale,The Nintendo Switch OLED is on sale at Woot,Sheena Vasani,2023/03/27
32,https://www.theverge.com/2023/3/27/23658230/apple-quietly-acquired-a-startup-that-specializes-in-ai-video-compression,Apple quietly acquired a startup that specializes in AI video compression.,Emma Roth,2023/03/27
33,https://www.theverge.com/2023/3/27/23658177/legend-of-zelda-tears-of-the-kingdom-nintendo-direct-gameplay,Nintendo is showing off ‘roughly 10 minutes’ of Tears of the Kingdom gameplay on March 28th,Andrew Webster,2023/03/27
